Id;Designator;Package;Quantity;Designation
1;Y1;Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering;1;16MHZ
2;C21,C20,C19,C18,C17,C16,C15,C14,C13,C12,C11,C10,C9,C5,C4,C1;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;16;0.1 uf
3;C7;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10uf
4;C6;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1uf
5;C3,C2;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;22pF
6;R11;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;500 ohm
7;D3;LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;num
8;D2;LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;Scrol
9;D1;LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;Caps
10;R8,R9;R_0805_2012Metric;2;5k1
11;R2,R1;R_0805_2012Metric;2;22
12;USB1;HRO-TYPE-C-31-M-12-jlc;1;HRO-TYPE-C-31-M-12
13;D_63,D_40,D_44,D_65,D_64,D_62,D_61,D_60,D_59,D_58,D_57,D_56,D_55,D_54,D_53,D_52,D_51,D_50,D_49,D_48,D_47,D_46,D_45,D_43,D_42,D_41,D_39,D_38,D_37,D_36,D_35,D_34,D_33,D_32,D_31,D_30,D_29,D_28,D_27,D_26,D_25,D_24,D_23,D_22,D_21,D_20,D_19,D_18,D_17,D_16,D_15,D_14,D_13,D_12,D_11,D_10,D_9,D_8,D_7,D_6,D_5,D_4,D_3,D_2,D_1,D_0;D_SOD-123;66;D
14;R6,R7,R5;R_0805_2012Metric;3;1k
15;U1;TQFP-44_10x10mm_P0.8mm;1;ATmega32U4-AU
16;SW1;SW_SPST_SKQG_WithStem;1;SW_Push
17;R4,R3;R_0805_2012Metric;2;10k
18;F1;Fuse_1206_3216Metric;1;Polyfuse
19;D16,D15,D14,D13,D12,D11,D10,D9,D8,D7,D6,D5,D4;LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm;13;WS2812B
